epoch,accuracy,loss,val_accuracy,val_loss
0,0.785443127155304,0.4778110384941101,0.6613555550575256,0.7862688899040222
1,0.8356214165687561,0.3889734745025635,0.661838173866272,0.8403193950653076
2,0.835863471031189,0.38563892245292664,0.6781768202781677,1.2552412748336792
3,0.8571224212646484,0.34394553303718567,0.7053722739219666,0.8326905965805054
4,0.8567777276039124,0.34443625807762146,0.7399283647537231,0.6567708253860474
5,0.8545581698417664,0.33992618322372437,0.77642822265625,0.6114521622657776
6,0.8581091165542603,0.331283301115036,0.8136318922042847,0.43873482942581177
7,0.8682547211647034,0.3183843791484833,0.7098156809806824,0.6944630146026611
8,0.8636878728866577,0.32334911823272705,0.6498569250106812,1.6351416110992432
9,0.8776546716690063,0.3022507429122925,0.8162214756011963,0.5236547589302063
10,0.8818350434303284,0.2953159511089325,0.8206728100776672,0.4548335671424866
11,0.8829318284988403,0.2895352840423584,0.8021975755691528,0.626166582107544
12,0.8789759278297424,0.302886039018631,0.7767009735107422,0.5421363711357117
13,0.8763675689697266,0.29690054059028625,0.8492946624755859,0.4022775888442993
14,0.8793860673904419,0.29058530926704407,0.809211254119873,0.5024895668029785
15,0.8927516341209412,0.2665511965751648,0.8043673634529114,0.5061837434768677
16,0.8910753726959229,0.2738053798675537,0.850801408290863,0.39231881499290466
17,0.888462245464325,0.2735365629196167,0.8342260122299194,0.4521586000919342
18,0.8977269530296326,0.25835081934928894,0.7536576390266418,1.0624644756317139
19,0.8981702923774719,0.25575047731399536,0.8048712015151978,0.5797612071037292
20,0.9039828777313232,0.2481410652399063,0.8025695085525513,0.4840463399887085
21,0.9077897667884827,0.23352716863155365,0.8052968978881836,0.6825442314147949
22,0.907417893409729,0.23503832519054413,0.8220101594924927,0.4982580542564392
23,0.9066616892814636,0.24119697511196136,0.8175699710845947,0.45677539706230164
24,0.9128159284591675,0.22409848868846893,0.8142029047012329,0.47178730368614197
25,0.9065307378768921,0.23941966891288757,0.8667885065078735,0.36709925532341003
26,0.9110743999481201,0.22883951663970947,0.8025282621383667,0.6415165662765503
27,0.9103979468345642,0.22868651151657104,0.7984309196472168,0.6133460998535156
28,0.9119989275932312,0.22794395685195923,0.8400604724884033,0.4133549928665161
29,0.9098212718963623,0.2241637110710144,0.8186025023460388,0.6121823787689209
30,0.9112309813499451,0.22808273136615753,0.8265025019645691,0.42666250467300415
31,0.9169517755508423,0.21713842451572418,0.8142617344856262,0.6454302072525024
32,0.9151841998100281,0.21655547618865967,0.8179106712341309,0.4990817904472351
33,0.9137346148490906,0.21635743975639343,0.8076162338256836,0.5660691857337952
34,0.906947910785675,0.23209509253501892,0.8052136301994324,0.8246605396270752
35,0.9159619212150574,0.21994121372699738,0.8532530069351196,0.40616923570632935
36,0.9240372180938721,0.19339722394943237,0.8267018795013428,0.41647881269454956
37,0.939034104347229,0.16298623383045197,0.8117995262145996,0.5280417799949646
38,0.9287946224212646,0.1863393634557724,0.8248507976531982,0.4139302670955658
39,0.9326925873756409,0.17830683290958405,0.8207703828811646,0.4379207491874695
40,0.9370834231376648,0.16895833611488342,0.7909771203994751,0.6018893122673035
41,0.9453727006912231,0.14862194657325745,0.8520081043243408,0.41123971343040466
42,0.9451590180397034,0.14702540636062622,0.8189764022827148,0.47081002593040466
43,0.934680163860321,0.16652098298072815,0.8351220488548279,0.43282774090766907
44,0.9378582239151001,0.1567276120185852,0.8239482045173645,0.4964273273944855
45,0.9438900947570801,0.14840362966060638,0.8211832642555237,0.4969191551208496
46,0.9412166476249695,0.15271113812923431,0.8341861963272095,0.4467810392379761
